îNåéì˙,ç≈çÇãCâ∑,ç≈í·ãCâ∑
2022/5/22,29.4,17.3
2022/5/23,25.1,19.1
2022/5/24,28.6,19
2022/5/25,29.2,20.8
2022/5/26,24.5,20
2022/5/27,29,17.5
2022/5/28,30.6,18.9
2022/5/29,28.5,19
2022/5/30,25.9,17.9
2022/5/31,26.8,20.4
2022/6/1,29.3,18.5
2022/6/2,27.5,18.8
2022/6/3,27.4,18.9
2022/6/4,33.4,18.9
2022/6/5,23.3,18.5
2022/6/6,23.9,18.5
2022/6/7,25,18.6
2022/6/8,24.9,18.3
2022/6/9,26.6,18
2022/6/10,27.5,19.8
2022/6/11,23.5,20.1
2022/6/12,25.4,20.5
2022/6/13,22.7,18.8
2022/6/14,23.9,18.2
2022/6/15,26.6,22.1
2022/6/16,29.5,22.7
2022/6/17,30.4,23
2022/6/18,30.9,23
2022/6/19,30.7,23.6
2022/6/20,28.5,24.1
2022/6/21,29.3,22.7
2022/6/22,29.3,23.7
2022/6/23,32.8,26.3
2022/6/24,32,27.1
2022/6/25,27.8,22.2
2022/6/26,33.1,23.5
2022/6/27,33.7,27.4
2022/6/28,34.2,28.2
2022/6/29,34.5,27.7
2022/6/30,34.8,26.7
2022/7/1,33.6,26.6
2022/7/2,36.3,26.1
2022/7/3,34.2,28.1
2022/7/4,32.4,25.4
2022/7/5,29.4,25.7
2022/7/6,31.7,26
2022/7/7,33.6,26.8
2022/7/8,34.2,27.1
2022/7/9,31.6,27
2022/7/10,32.1,25.6
2022/7/11,32.2,26.3
2022/7/12,30.8,25.8
2022/7/13,31.6,24.2
2022/7/14,33.8,27.9
2022/7/15,32.1,24.9
2022/7/16,31.2,24.2
2022/7/17,31.5,24.7
2022/7/18,31.3,24.4
2022/7/19,32,25.8
2022/7/20,33.6,24.6
2022/7/21,36.4,26.8
2022/7/22,30.6,25.7
2022/7/23,31.1,24.4
2022/7/24,32.8,25.9
2022/7/25,30.8,26.2
2022/7/26,32.1,26.3
2022/7/27,33.2,25.5
2022/7/28,35.7,28.2
2022/7/29,35,27.7
2022/7/30,35.6,27.6
2022/7/31,35,27.7
2022/8/1,36.4,29.4
2022/8/2,36.9,29.4
2022/8/3,36.2,28.5
2022/8/4,35.4,28
2022/8/5,35.2,28.3
2022/8/6,33.1,27.9
2022/8/7,36.4,26.8
2022/8/8,35.2,28.2
2022/8/9,35.7,27.4
2022/8/10,35.1,28.1
2022/8/11,34.8,28.2
2022/8/12,31.8,26.8
2022/8/13,34.9,27.9
2022/8/14,36.4,28.5
2022/8/15,35.2,29.1
2022/8/16,33.7,26.3
2022/8/17,28.4,25.2
2022/8/18,32,24.5
2022/8/19,35.1,25.7
2022/8/20,35.1,29.6
2022/8/21,32.8,25.5
2022/8/22,32.5,26.8
2022/8/23,33.3,27.2
2022/8/24,30.6,26
2022/8/25,31.1,25.2
2022/8/26,31.5,23.9
2022/8/27,31.4,23.1
2022/8/28,31,24.1
2022/8/29,32.9,22.9
2022/8/30,34.8,25.5
2022/8/31,33.2,27.1
2022/9/1,29.5,22.4
2022/9/2,27.2,21.9
2022/9/3,26.9,24
2022/9/4,35,23.5
2022/9/5,31.8,26.2
2022/9/6,28.4,22.5
2022/9/7,29,20.9
2022/9/8,30.8,22.3
2022/9/9,30.4,23.2
2022/9/10,30.6,23.3
2022/9/11,30.9,24.5
2022/9/12,34.9,25.3
2022/9/13,33.5,26.3
2022/9/14,34.4,25.9
2022/9/15,34.5,26.9
2022/9/16,34.1,26.6
2022/9/17,31.2,25.4
2022/9/18,29,24.9
2022/9/19,26.9,21.9
2022/9/20,24.8,18.8
2022/9/21,26,18.7
2022/9/22,27.9,19.2
2022/9/23,26.1,21.8
2022/9/24,26,21
2022/9/25,28.4,18.9
2022/9/26,26,22.5
2022/9/27,25.1,20.8
2022/9/28,26.4,20.2
2022/9/29,26.5,21.5
2022/9/30,27.5,19.4
2022/10/1,28,19.5
2022/10/2,30.2,19.9
2022/10/3,32,22.6
2022/10/4,31.4,21.3
2022/10/5,25.4,19.6
2022/10/6,25.1,19
2022/10/7,22.5,16.6
2022/10/8,23.2,16.9
2022/10/9,20.8,16.9
2022/10/10,20.2,17
2022/10/11,19.7,14.7
2022/10/12,23.3,13.1
2022/10/13,25.6,14.6
2022/10/14,25.6,15.5
2022/10/15,25.8,16.1
2022/10/16,26.5,17.3
2022/10/17,23.1,19.4
2022/10/18,21.3,15.4
2022/10/19,21.6,12.5
2022/10/20,23.6,12.8
2022/10/21,26.1,14.3
2022/10/22,26.7,19.6
2022/10/23,24.9,18.2
2022/10/24,19.9,12.5
2022/10/25,19.8,11.7
2022/10/26,21.6,9.9
2022/10/27,21.8,13.6
2022/10/28,22.7,12
2022/10/29,22.2,12.7
2022/10/30,20.8,12.3
2022/10/31,22.1,11.5
